,0
0,25.32257879852618
1,12.507303275759257
2,8.10135136079536
3,5.536212202102419
4,3.703495782519144
5,2.659918663047609
6,1.985898288469466
7,1.509040361359006
8,1.2221361449155859
9,1.0424294288826998
10,0.9286645469526765
11,0.7551528335248352
12,0.7074574782419457
13,0.6754420636192201
14,0.5630540857239376
15,0.47171415759142116
16,0.4425958694604339
17,0.40141115838257724
18,0.3443732364152474
19,0.36272712895479153
20,0.3170856734116872
21,0.3263163825191518
22,0.2822004761645403
23,0.25891686384640045
24,0.2969903766162812
25,0.22349850525931705
26,0.19566233290566337
27,0.2156599214468053
28,0.16323768114917492
29,0.15238055492204333
30,0.16252679090020516
31,0.4663168877836258
32,0.20960087971712546
33,0.1559601319687707
34,0.11680299548244981
35,0.12731942250615075
36,0.09720507532200486
37,0.09960236719676427
38,0.0813694921120134
39,0.06909927016212827
40,0.060290612871684725
41,0.06305569221103002
42,0.07241521152869734
43,0.05426880575361706
44,0.0487106511832545
45,0.06625663351129603
46,0.04706147076591613
47,0.05690812969964648
48,0.0513891098360536
49,0.03865947389098071
